,Unnamed: 0,Season,Name,Transfer Sum,From,FromCountry,FromLanguage,FromLanguageFamily,To,ToCountry,ToLanguage,ToLanguageFamily
944,944,17/18,Pa Modou,ablösefrei,FC Sion,Switzerland,French,Romance,FC Zürich,Switzerland,German,Germanic
977,977,16/17,Kay Voser,ablösefrei,FC Sion,Switzerland,French,Romance,FC Zürich,Switzerland,German,Germanic
981,981,16/17,Andris Vanins,ablösefrei,FC Sion,Switzerland,French,Romance,FC Zürich,Switzerland,German,Germanic
1136,1136,12/13,Geoffroy Serey Dié,"1,10 Mio. €",FC Sion,Switzerland,French,Romance,FC Basel,Switzerland,German,Germanic
1156,1156,11/12,Xavier Margairaz,375 Tsd. €,FC Zürich,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
1177,1177,11/12,Stefan Glarner,50 Tsd. €,FC Sion,Switzerland,French,Romance,FC Zürich,Switzerland,German,Germanic
1206,1206,20/21,Guillaume Faivre,ablösefrei,FC Thun,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
1210,1210,20/21,Matteo Tosetti,?,FC Thun,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
1221,1221,19/20,Miguel Castroman,ablösefrei,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1233,1233,19/20,Marvin Spielmann,"2,00 Mio. €",FC Thun,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
1247,1247,18/19,Grégory Karlen,?,FC Sion,Switzerland,French,Romance,FC Thun,Switzerland,German,Germanic
1251,1251,18/19,Sandro Lauper,"1,50 Mio. €",FC Thun,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
1257,1257,18/19,Djordje Nikolic,Leih-Ende,FC Thun,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
1260,1260,17/18,Nicolas Hunziker,ablösefrei,FC Basel,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1263,1263,17/18,Sven Joss,?,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1264,1264,17/18,Grégory Karlen,Leihe,FC Sion,Switzerland,French,Romance,FC Thun,Switzerland,German,Germanic
1265,1265,17/18,Djordje Nikolic,Leihe,FC Basel,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1277,1277,17/18,Christian Fassnacht,?,FC Thun,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
1289,1289,16/17,Nicolas Bürgy,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1306,1306,16/17,Sven Joss,Leih-Ende,FC Thun,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
1310,1310,15/16,Marco Bürki,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1312,1312,15/16,Sven Joss,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1330,1330,14/15,Gaëtan Karlen,150 Tsd. €,FC Sion,Switzerland,French,Romance,FC Thun,Switzerland,German,Germanic
1332,1332,14/15,Stefan Glarner,ablösefrei,FC Zürich,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1339,1339,14/15,Alexander González,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1342,1342,14/15,Luca Zuffi,"1,00 Mio. €",FC Thun,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
1343,1343,14/15,Sékou Sanogo,800 Tsd. €,FC Thun,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
1344,1344,14/15,Christian Schneuwly,100 Tsd. €,FC Thun,Switzerland,German,Germanic,FC Zürich,Switzerland,German,Germanic
1356,1356,13/14,Josef Martínez,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1359,1359,13/14,Christian Schneuwly,?,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1361,1361,13/14,Renato Steffen,500 Tsd. €,FC Thun,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
1371,1371,13/14,Josef Martínez,Leih-Ende,FC Thun,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
1388,1388,12/13,David Da Costa,380 Tsd. €,FC Thun,Switzerland,German,Germanic,FC Zürich,Switzerland,German,Germanic
1401,1401,11/12,Marco Schneuwly,?,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1402,1402,11/12,Christian Schneuwly,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1409,1409,11/12,Stephan Andrist,240 Tsd. €,FC Thun,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
1412,1412,11/12,Stefan Glarner,ablösefrei,FC Thun,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
1417,1417,11/12,Ifet Taljevic,-,FC Thun,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
1476,1476,18/19,Jonas Omlin,"2,00 Mio. €",FC Luzern,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
1478,1478,18/19,Hekuran Kryeziu,ablösefrei,FC Luzern,Switzerland,German,Germanic,FC Zürich,Switzerland,German,Germanic
1488,1488,17/18,Nicolas Schindelholz,ablösefrei,FC Thun,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1491,1491,17/18,Dereck Kutesa,Leihe,FC Basel,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1492,1492,17/18,Daniel Follonier,?,FC Sion,Switzerland,French,Romance,FC Luzern,Switzerland,German,Germanic
1513,1513,17/18,Marco Schneuwly,?,FC Luzern,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
1518,1518,17/18,Cedric Itten,Leih-Ende,FC Luzern,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
1524,1524,16/17,Cedric Itten,Leihe,FC Basel,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1543,1543,15/16,Christian Schneuwly,500 Tsd. €,FC Zürich,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1582,1582,14/15,Marco Schneuwly,ablösefrei,FC Thun,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
