Column1;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily
0;20/21;Arthur Cabral;4,40 Mio. €;Palmeiras;Brazil;Portuguese;Romance;FC Basel;Switzerland;German;Germanic
1;20/21;Kaly Sene;4,00 Mio. €;Juventus U19;Italy;Italian;Romance;FC Basel;Switzerland;German;Germanic
2;20/21;Edon Zhegrova;3,00 Mio. €;KRC Genk ;Belgium;French;Romance;FC Basel;Switzerland;German;Germanic
3;20/21;Andrea Padula;450 Tsd. €;FC Wil 1900;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
4;20/21;Heinz Lindner;ablösefrei;Wehen Wiesbaden;Germany;German;Germanic;FC Basel;Switzerland;German;Germanic
5;20/21;Pajtim Kasami;ablösefrei;FC Sion;Switzerland;French;Romance;FC Basel;Switzerland;German;Germanic
6;20/21;Jorge;Leihe;AS Monaco;France;French;Romance;FC Basel;Switzerland;German;Germanic
7;20/21;Timm Klose;Leihe;Norwich City;England;English;Germanic;FC Basel;Switzerland;German;Germanic
8;20/21;Felix Gebhardt;-;FC Basel U18;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
9;20/21;Lirik Vishi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
10;20/21;Liam Chipperfield;-;FC Basel U18;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
11;20/21;Omar Alderete;6,50 Mio. €;FC Basel;Switzerland;German;Germanic;Hertha BSC;Germany;German;Germanic
12;20/21;Jonas Omlin;6,00 Mio. €;FC Basel;Switzerland;German;Germanic;Montpellier;France;French;Romance
13;20/21;Blas Riveros;67 Tsd. €;FC Basel;Switzerland;German;Germanic;Bröndby IF;Denmark;Danish;Germanic
14;20/21;Kevin Bua;ablösefrei;FC Basel;Switzerland;German;Germanic;CD Leganés;Spain;Spanish;Romance
15;20/21;Kaly Sene;Leihe;FC Basel;Switzerland;German;Germanic;Omonia Nikosia;Cyprus;Greek;Hellenic
16;20/21;Yves Kaiser;?;FC Basel;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
17;20/21;Kemal Ademi;?;FC Basel;Switzerland;German;Germanic;Fenerbahce;Turkey;Turkish;Turkic
18;20/21;Dimitri Oberlin;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
19;20/21;Zdravko Kuzmanovic;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
20;20/21;Dominik Schmid;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
21;20/21;Martin Liechti;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
22;19/20;Omar Alderete;1,00 Mio. €;Huracán;Columbia;Spanish;Romance;FC Basel;Switzerland;German;Germanic
23;19/20;Kemal Ademi;ablösefrei;Xamax;Switzerland;French;Romance;FC Basel;Switzerland;German;Germanic
24;19/20;Jasper van der Werff;Leihe;RB Salzburg;Austria;German;Germanic;FC Basel;Switzerland;German;Germanic
25;19/20;Emil Bergström;Leihe;FC Utrecht;Netherlands;Dutch;Germanic;FC Basel;Switzerland;German;Germanic
26;19/20;Ramires;Leihe;EC Bahia;Brazil;Portuguese;Romance;FC Basel;Switzerland;German;Germanic
27;19/20;Orges Bunjaku;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
28;19/20;Mihailo Stevanovic;-;FC Basel U18;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
29;19/20;Gezim Pepsi;Leih-Ende;FC Aarau;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
30;19/20;Jozef Pukaj;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
31;19/20;Tician Tushi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
32;19/20;Julian Von Moos;Leih-Ende;FC Wil 1900;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
33;19/20;Noah Okafor;11,20 Mio. €;FC Basel;Switzerland;German;Germanic;RB Salzburg;Austria;German;Germanic
34;19/20;Albian Ajeti;8,70 Mio. €;FC Basel;Switzerland;German;Germanic;West Ham Utd.;England;English;Germanic
35;19/20;Éder Balanta;2,40 Mio. €;FC Basel;Switzerland;German;Germanic;FC Brügge;Belgium;French;Romance
36;19/20;Martin Hansen;ablösefrei;FC Basel;Switzerland;German;Germanic;Strømsgodset;Norway;Norwegian;Germanic
37;19/20;Marek Suchy;ablösefrei;FC Basel;Switzerland;German;Germanic;FC Augsburg;Germany;German;Germanic
38;19/20;Robin Huser;ablösefrei;FC Basel;Switzerland;German;Germanic;FC Chiasso;Switzerland;Italian;Romance
39;19/20;Martin Liechti;Leihe;FC Basel;Switzerland;German;Germanic;FC Winterthur;Switzerland;German;Germanic
40;19/20;Pedro Pacheco;?;FC Basel;Switzerland;German;Germanic;Amarante;Portugal;Portuguese;Romance
41;19/20;Aldo Kalulu;Leihe;FC Basel;Switzerland;German;Germanic;Swansea City;England;English;Germanic
42;19/20;Yves Kaiser;Leihe;FC Basel;Switzerland;German;Germanic;FC Schaffhausen;Switzerland;German;Germanic
43;19/20;Dimitri Oberlin;Leihe;FC Basel;Switzerland;German;Germanic;Zulte Waregem;Belgium;French;Romance
44;19/20;Neftali Manzambi;?;FC Basel;Switzerland;German;Germanic;Sporting Gijón;Spain;Spanish;Romance
45;19/20;Gezim Pepsi;?;FC Basel;Switzerland;German;Germanic;FC Winterthur;Switzerland;German;Germanic
46;19/20;Julian Von Moos;Leihe;FC Basel;Switzerland;German;Germanic;FC Wil 1900;Switzerland;German;Germanic
47;19/20;Konstantinos Dimitriou;Leihe;FC Basel;Switzerland;German;Germanic;FC Wil 1900;Switzerland;German;Germanic
48;19/20;Signori Antonio;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
49;19/20;Geoffroy Serey Dié;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
50;19/20;Ramires;Leih-Ende;FC Basel;Switzerland;German;Germanic;EC Bahia;Brazil;Portuguese;Romance
51;18/19;Silvan Widmer;4,50 Mio. €;Udinese Calcio;Italy;Italian;Romance;FC Basel;Switzerland;German;Germanic
52;18/19;Dimitri Oberlin;4,10 Mio. €;RB Salzburg;Austria;German;Germanic;FC Basel;Switzerland;German;Germanic
53;18/19;Aldo Kalulu;2,10 Mio. €;Olympique Lyon;France;French;Romance;FC Basel;Switzerland;German;Germanic
54;18/19;Jonas Omlin;2,00 Mio. €;FC Luzern;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
55;18/19;Julian Von Moos;1,30 Mio. €;GC Zürich U18;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
56;18/19;Martin Hansen;250 Tsd. €;FC Ingolstadt;Germany;German;Germanic;FC Basel;Switzerland;German;Germanic
57;18/19;Edon Zhegrova;Leihe;KRC Genk ;Belgium;French;Romance;FC Basel;Switzerland;German;Germanic
58;18/19;Konstantinos Dimitriou;ablösefrei;PAOK Saloniki;Greece;Greek;Hellenic;FC Basel;Switzerland;German;Germanic
59;18/19;Carlos Zambrano;Leihe;Dynamo Kiew;Ukraine;Ukrainian;Slavic;FC Basel;Switzerland;German;Germanic
60;18/19;Gezim Pepsi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
61;18/19;Martin Liechti;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
62;18/19;Omar Gaber;Leih-Ende;Los Angeles FC;United States;English;Germanic;FC Basel;Switzerland;German;Germanic
63;18/19;Pedro Pacheco;Leih-Ende;SC YF Juventus;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
64;18/19;Robin Huser;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
65;18/19;Djordje Nikolic;Leih-Ende;FC Thun;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
66;18/19;Pedro Pacheco;Leih-Ende;Rapperswil-Jona;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
67;18/19;Dominik Schmid;Leih-Ende;Lausanne-Sport;Switzerland;French;Romance;FC Basel;Switzerland;German;Germanic
68;18/19;Mohamed Elyounoussi;18,00 Mio. €;FC Basel;Switzerland;German;Germanic;FC Southampton;England;English;Germanic
69;18/19;Tomas Vaclík;6,00 Mio. €;FC Basel;Switzerland;German;Germanic;FC Sevilla;Spain;Spanish;Romance
70;18/19;Michael Lang;2,80 Mio. €;FC Basel;Switzerland;German;Germanic;Bor. M'gladbach;Germany;German;Germanic
71;18/19;Alexander Fransson;1,00 Mio. €;FC Basel;Switzerland;German;Germanic;IFK Norrköping;Sweden;Swedish;Germanic
72;18/19;Cedric Itten;430 Tsd. €;FC Basel;Switzerland;German;Germanic;FC St. Gallen;Switzerland;German;Germanic
73;18/19;Omar Gaber;300 Tsd. €;FC Basel;Switzerland;German;Germanic;Los Angeles FC;United States;English;Germanic
74;18/19;Davide Callà;ablösefrei;FC Basel;Switzerland;German;Germanic;FC Winterthur;Switzerland;German;Germanic
75;18/19;Mirko Salvi;ablösefrei;FC Basel;Switzerland;German;Germanic;Grasshoppers;Switzerland;German;Germanic
76;18/19;Pedro Pacheco;Leihe;FC Basel;Switzerland;German;Germanic;SC YF Juventus;Switzerland;German;Germanic
77;18/19;Djordje Nikolic;Leihe;FC Basel;Switzerland;German;Germanic;FC Aarau;Switzerland;German;Germanic
78;18/19;Neftali Manzambi;Leihe;FC Basel;Switzerland;German;Germanic;Sporting Gijón;Spain;Spanish;Romance
79;18/19;Dereck Kutesa;?;FC Basel;Switzerland;German;Germanic;FC St. Gallen;Switzerland;German;Germanic
80;18/19;Gezim Pepsi;Leihe;FC Basel;Switzerland;German;Germanic;FC Aarau;Switzerland;German;Germanic
81;18/19;Dimitri Oberlin;Leihe;FC Basel;Switzerland;German;Germanic;FC Empoli;Italy;Italian;Romance
82;18/19;Afimico Pululu;Leihe;FC Basel;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
83;18/19;Geoffroy Serey Dié;Leihe;FC Basel;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
84;18/19;Germano Vailati;-;FC Basel;Switzerland;German;Germanic;Karriereende;Karriereende;Karriereende;Karriereende
85;18/19;Martin Liechti;Leihe;FC Basel;Switzerland;German;Germanic;FC Aarau;Switzerland;German;Germanic
86;18/19;Dominik Schmid;Leihe;FC Basel;Switzerland;German;Germanic;FC Wil 1900;Switzerland;German;Germanic
87;17/18;Ricky van Wolfswinkel;3,50 Mio. €;Vitesse Arnheim;Netherlands;Dutch;Germanic;FC Basel;Switzerland;German;Germanic
88;17/18;Fabian Frei;1,50 Mio. €;1.FSV Mainz 05;Germany;German;Germanic;FC Basel;Switzerland;German;Germanic
89;17/18;Albian Ajeti;1,39 Mio. €;FC St. Gallen;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
90;17/18;Dimitri Oberlin;-;RB Salzburg;Austria;German;Germanic;FC Basel;Switzerland;German;Germanic
91;17/18;Valentin Stocker;ablösefrei;Hertha BSC;Germany;German;Germanic;FC Basel;Switzerland;German;Germanic
92;17/18;Samuele Campo;?;Lausanne-Sport;Switzerland;French;Romance;FC Basel;Switzerland;German;Germanic
93;17/18;Léo Lacroix;Leihe;AS St.-Étienne;France;French;Romance;FC Basel;Switzerland;German;Germanic
94;17/18;Cedric Itten;Leih-Ende;FC Luzern;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
95;17/18;Dominik Schmid;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
96;17/18;Afimico Pululu;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
97;17/18;Neftali Manzambi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
98;17/18;Yannick Marchand;-;FC Basel U18;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
99;17/18;Yves Kaiser;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
100;17/18;Noah Okafor;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
101;17/18;Signori Antonio;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;FC Basel;Switzerland;German;Germanic
102;17/18;Andraz Sporar;Leih-Ende;Arm. Bielefeld;Germany;German;Germanic;FC Basel;Switzerland;German;Germanic
103;17/18;Djordje Nikolic;Leih-Ende;FC Schaffhausen;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
104;17/18;Manuel Akanji;21,50 Mio. €;FC Basel;Switzerland;German;Germanic;Bor. Dortmund;Germany;German;Germanic
105;17/18;Renato Steffen;1,75 Mio. €;FC Basel;Switzerland;German;Germanic;VfL Wolfsburg;Germany;German;Germanic
106;17/18;Jean-Paul Boëtius;1,50 Mio. €;FC Basel;Switzerland;German;Germanic;Feyenoord;Netherlands;Dutch;Germanic
107;17/18;Andraz Sporar;600 Tsd. €;FC Basel;Switzerland;German;Germanic;Slo. Bratislava;Slovakia;Slovak;Slavic
108;17/18;Marc Janko;ablösefrei;FC Basel;Switzerland;German;Germanic;Sparta Prag;Czech Republic;Czech;Slavic
109;17/18;Nicolas Hunziker;ablösefrei;FC Basel;Switzerland;German;Germanic;FC Thun;Switzerland;German;Germanic
110;17/18;Daniel Höegh;ablösefrei;FC Basel;Switzerland;German;Germanic;SC Heerenveen;Netherlands;Dutch;Germanic
111;17/18;Eray Cömert;Leihe;FC Basel;Switzerland;German;Germanic;FC Sion;Switzerland;French;Romance
112;17/18;Andraz Sporar;Leihe;FC Basel;Switzerland;German;Germanic;Arm. Bielefeld;Germany;German;Germanic
113;17/18;Djordje Nikolic;Leihe;FC Basel;Switzerland;German;Germanic;FC Schaffhausen;Switzerland;German;Germanic
114;17/18;Adama Traoré;?;FC Basel;Switzerland;German;Germanic;Göztepe;Turkey;Turkish;Turkic
115;17/18;Omar Gaber;Leihe;FC Basel;Switzerland;German;Germanic;Los Angeles FC;United States;English;Germanic
116;17/18;Pedro Pacheco;Leihe;FC Basel;Switzerland;German;Germanic;Rapperswil-Jona;Switzerland;German;Germanic
117;17/18;Cedric Itten;Leihe;FC Basel;Switzerland;German;Germanic;FC St. Gallen;Switzerland;German;Germanic
118;17/18;Dominik Schmid;Leihe;FC Basel;Switzerland;German;Germanic;Lausanne-Sport;Switzerland;French;Romance
119;17/18;Djordje Nikolic;Leihe;FC Basel;Switzerland;German;Germanic;FC Thun;Switzerland;German;Germanic
120;17/18;Alexander Fransson;Leihe;FC Basel;Switzerland;German;Germanic;Lausanne-Sport;Switzerland;French;Romance
121;17/18;Dereck Kutesa;Leihe;FC Basel;Switzerland;German;Germanic;FC Luzern;Switzerland;German;Germanic
122;17/18;Veljko Simic;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
123;17/18;Matías Delgado;-;FC Basel;Switzerland;German;Germanic;Karriereende;Karriereende;Karriereende;Karriereende
124;16/17;Éder Balanta;3,50 Mio. €;River Plate;Argentina;Spanish;Romance;FC Basel;Switzerland;German;Germanic
125;16/17;Mohamed Elyounoussi;3,20 Mio. €;Molde;Norway;Norwegian;Germanic;FC Basel;Switzerland;German;Germanic
126;16/17;Seydou Doumbia;-;AS Rom;Italy;Italian;Romance;FC Basel;Switzerland;German;Germanic
127;16/17;Blas Riveros;1,70 Mio. €;Olimpia;Paraguay;Spanish;Romance;FC Basel;Switzerland;German;Germanic
128;16/17;Omar Gaber;1,65 Mio. €;Zamalek;Egypt;Arabic;Semitic;FC Basel;Switzerland;German;Germanic
129;16/17;Kevin Bua;1,50 Mio. €;FC Zürich;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
130;16/17;Geoffroy Serey Dié;1,20 Mio. €;VfB Stuttgart;Germany;German;Germanic;FC Basel;Switzerland;German;Germanic
131;16/17;Djordje Nikolic;300 Tsd. €;Jagodina;Serbia;Serbian;Slavic;FC Basel;Switzerland;German;Germanic
132;16/17;Raoul Petretta;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
133;16/17;Pedro Pacheco;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
134;16/17;Eray Cömert;-;FC Basel U18;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
135;16/17;Breel Embolo;26,50 Mio. €;FC Basel;Switzerland;German;Germanic;FC Schalke 04;Germany;German;Germanic
136;16/17;Birkir Bjarnason;2,00 Mio. €;FC Basel;Switzerland;German;Germanic;Aston Villa;England;English;Germanic
137;16/17;Naser Aliji;175 Tsd. €;FC Basel;Switzerland;German;Germanic;1.FC K'lautern;Germany;German;Germanic
138;16/17;Behrang Safari;ablösefrei;FC Basel;Switzerland;German;Germanic;Malmö FF;Sweden;Swedish;Germanic
139;16/17;Musa Araz;ablösefrei;FC Basel;Switzerland;German;Germanic;Lausanne-Sport;Switzerland;French;Romance
140;16/17;Veljko Simic;Leihe;FC Basel;Switzerland;German;Germanic;FC Chiasso;Switzerland;Italian;Romance
141;16/17;Ahmed Hamoudi;ablösefrei;FC Basel;Switzerland;German;Germanic;Al-Batin;Saudi Arabia;Arabic;Semitic
142;16/17;Jean-Paul Boëtius;Leihe;FC Basel;Switzerland;German;Germanic;KRC Genk ;Belgium;French;Romance
143;16/17;Eray Cömert;Leihe;FC Basel;Switzerland;German;Germanic;FC Lugano;Switzerland;Italian;Romance
144;16/17;Cedric Itten;Leihe;FC Basel;Switzerland;German;Germanic;FC Luzern;Switzerland;German;Germanic
145;16/17;Zdravko Kuzmanovic;Leihe;FC Basel;Switzerland;German;Germanic;FC Málaga;Spain;Spanish;Romance
146;16/17;Nicolas Hunziker;Leihe;FC Basel;Switzerland;German;Germanic;Grasshoppers;Switzerland;German;Germanic
147;16/17;Wálter Samuel;-;FC Basel;Switzerland;German;Germanic;Karriereende;Karriereende;Karriereende;Karriereende
148;16/17;Philipp Degen;-;FC Basel;Switzerland;German;Germanic;Karriereende;Karriereende;Karriereende;Karriereende
149;16/17;Robin Huser;-;FC Basel;Switzerland;German;Germanic;FC Basel U21;Switzerland;German;Germanic
150;15/16;Andraz Sporar;3,80 Mio. €;NK Olimpija;Slovenia;Slovene;Slavic;FC Basel;Switzerland;German;Germanic
151;15/16;Zdravko Kuzmanovic;2,00 Mio. €;Inter Mailand;Italy;Italian;Romance;FC Basel;Switzerland;German;Germanic
152;15/16;Birkir Bjarnason;2,00 Mio. €;Delfino Pescara;Italy;Italian;Romance;FC Basel;Switzerland;German;Germanic
153;15/16;Jean-Paul Boëtius;2,00 Mio. €;Feyenoord;Netherlands;Dutch;Germanic;FC Basel;Switzerland;German;Germanic
154;15/16;Daniel Höegh;1,50 Mio. €;Odense BK;Denmark;Danish;Germanic;FC Basel;Switzerland;German;Germanic
155;15/16;Renato Steffen;1,20 Mio. €;BSC Young Boys;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
156;15/16;Manuel Akanji;700 Tsd. €;FC Winterthur;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
157;15/16;Michael Lang;ablösefrei;Grasshoppers;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
158;15/16;Marc Janko;ablösefrei;Sydney FC;Australia;English;Germanic;FC Basel;Switzerland;German;Germanic
159;15/16;Dereck Kutesa;?;Servette FC;Switzerland;French;Romance;FC Basel;Switzerland;German;Germanic
160;15/16;Alexander Fransson;?;IFK Norrköping;Sweden;Swedish;Germanic;FC Basel;Switzerland;German;Germanic
161;15/16;Cedric Itten;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
162;15/16;Nicolas Hunziker;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
163;15/16;Naser Aliji;Leih-Ende;FC Vaduz;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
164;15/16;Mohamed Elneny;12,50 Mio. €;FC Basel;Switzerland;German;Germanic;FC Arsenal;England;English;Germanic
165;15/16;Derlis González;9,40 Mio. €;FC Basel;Switzerland;German;Germanic;Dynamo Kiew;Ukraine;Ukrainian;Slavic
166;15/16;Fabian Schär;4,00 Mio. €;FC Basel;Switzerland;German;Germanic;TSG Hoffenheim;Germany;German;Germanic
167;15/16;Fabian Frei;3,60 Mio. €;FC Basel;Switzerland;German;Germanic;1.FSV Mainz 05;Germany;German;Germanic
168;15/16;Shkëlzen Gashi;2,70 Mio. €;FC Basel;Switzerland;German;Germanic;Colorado Rapids;United States;English;Germanic
169;15/16;Giovanni Sio;2,00 Mio. €;FC Basel;Switzerland;German;Germanic;Stade Rennes;France;French;Romance
170;15/16;Albian Ajeti;1,00 Mio. €;FC Basel;Switzerland;German;Germanic;FC Augsburg;Germany;German;Germanic
171;15/16;Veljko Simic;Leihe;FC Basel;Switzerland;German;Germanic;FC Schaffhausen;Switzerland;German;Germanic
172;15/16;Kwang-ryong Pak;ablösefrei;FC Basel;Switzerland;German;Germanic;FC Biel-Bienne;Switzerland;German;Germanic
173;15/16;Pascal Albrecht;ablösefrei;FC Basel;Switzerland;German;Germanic;St. Gallen U21;Switzerland;German;Germanic
174;15/16;Dereck Kutesa;Leihe;FC Basel;Switzerland;German;Germanic;Servette FC;Switzerland;French;Romance
175;15/16;Zdravko Kuzmanovic;Leihe;FC Basel;Switzerland;German;Germanic;Udinese Calcio;Italy;Italian;Romance
176;15/16;Mirko Salvi;Leihe;FC Basel;Switzerland;German;Germanic;FC Lugano;Switzerland;Italian;Romance
177;15/16;Yoichiro Kakitani;?;FC Basel;Switzerland;German;Germanic;Cerezo Osaka;Japan;Japanese;Japonic
178;15/16;Ahmed Hamoudi;Leihe;FC Basel;Switzerland;German;Germanic;Zamalek;Egypt;Arabic;Semitic
179;15/16;Gastón Sauro;?;FC Basel;Switzerland;German;Germanic;Columbus Crew;United States;English;Germanic
180;15/16;Musa Araz;Leihe;FC Basel;Switzerland;German;Germanic;FC Winterthur;Switzerland;German;Germanic
181;15/16;Marco Streller;-;FC Basel;Switzerland;German;Germanic;Karriereende;Karriereende;Karriereende;Karriereende
182;15/16;Arlind Ajeti;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
183;15/16;Ivan Ivanov;-;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
184;14/15;Derlis González;3,00 Mio. €;Benfica;Portugal;Portuguese;Romance;FC Basel;Switzerland;German;Germanic
185;14/15;Marek Suchy;2,50 Mio. €;Spartak Moskau;Russia;Russian;Slavic;FC Basel;Switzerland;German;Germanic
186;14/15;Tomas Vaclík;2,00 Mio. €;Sparta Prag;Czech Republic;Czech;Slavic;FC Basel;Switzerland;German;Germanic
187;14/15;Adama Traoré;1,50 Mio. €;Vit. Guimarães;Portugal;Portuguese;Romance;FC Basel;Switzerland;German;Germanic
188;14/15;Shkëlzen Gashi;1,50 Mio. €;Grasshoppers;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
189;14/15;Yoichiro Kakitani;1,50 Mio. €;Cerezo Osaka;Japan;Japanese;Japonic;FC Basel;Switzerland;German;Germanic
190;14/15;Luca Zuffi;1,00 Mio. €;FC Thun;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
191;14/15;Ahmed Hamoudi;800 Tsd. €;Smouha;Egypt;Arabic;Semitic;FC Basel;Switzerland;German;Germanic
192;14/15;Wálter Samuel;ablösefrei;Inter Mailand;Italy;Italian;Romance;FC Basel;Switzerland;German;Germanic
193;14/15;Darko Jevtic;Leih-Ende;Lech Posen;Poland;Polish;Slavic;FC Basel;Switzerland;German;Germanic
194;14/15;Albian Ajeti;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
195;14/15;Robin Huser;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
196;14/15;Breel Embolo;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
197;14/15;Pascal Albrecht;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
198;14/15;Musa Araz;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
199;14/15;Yann Sommer;9,00 Mio. €;FC Basel;Switzerland;German;Germanic;Bor. M'gladbach;Germany;German;Germanic
200;14/15;Valentin Stocker;4,00 Mio. €;FC Basel;Switzerland;German;Germanic;Hertha BSC;Germany;German;Germanic
201;14/15;Marcelo Díaz;2,00 Mio. €;FC Basel;Switzerland;German;Germanic;Hamburger SV;Germany;German;Germanic
202;14/15;Kay Voser;800 Tsd. €;FC Basel;Switzerland;German;Germanic;FC Fulham;England;English;Germanic
203;14/15;Geoffroy Serey Dié;600 Tsd. €;FC Basel;Switzerland;German;Germanic;VfB Stuttgart;Germany;German;Germanic
204;14/15;Endogan Adili;400 Tsd. €;FC Basel;Switzerland;German;Germanic;Galatasaray;Turkey;Turkish;Turkic
205;14/15;Darko Jevtic;350 Tsd. €;FC Basel;Switzerland;German;Germanic;Lech Posen;Poland;Polish;Slavic
206;14/15;Darko Jevtic;-;FC Basel;Switzerland;German;Germanic;Lech Posen;Poland;Polish;Slavic
207;14/15;Pascal Schürpf;ablösefrei;FC Basel;Switzerland;German;Germanic;FC Vaduz;Switzerland;German;Germanic
208;14/15;Fabian Ritter;ablösefrei;FC Basel;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos
209;14/15;Naser Aliji;Leihe;FC Basel;Switzerland;German;Germanic;FC Vaduz;Switzerland;German;Germanic
210;14/15;Simon Grether;ablösefrei;FC Basel;Switzerland;German;Germanic;FC Wohlen;Switzerland;German;Germanic
211;14/15;Giovanni Sio;Leihe;FC Basel;Switzerland;German;Germanic;SC Bastia;France;French;Romance
212;14/15;Stjepan Vuleta;?;FC Basel;Switzerland;German;Germanic;FC Wacker;Austria;German;Germanic
213;14/15;Mirko Salvi;Leihe;FC Basel;Switzerland;German;Germanic;FC Biel-Bienne;Switzerland;German;Germanic
214;14/15;Veljko Simic;Leihe;FC Basel;Switzerland;German;Germanic;NK Domzale;Slovenia;Slovene;Slavic
215;14/15;Gastón Sauro;Leihe;FC Basel;Switzerland;German;Germanic;Catania Calcio;Italy;Italian;Romance
216;14/15;Musa Araz;Leihe;FC Basel;Switzerland;German;Germanic;Le Mont LS;France;French;Romance
217;13/14;Ivan Ivanov;2,10 Mio. €;Partizan;Serbia;Serbian;Slavic;FC Basel;Switzerland;German;Germanic
218;13/14;Giovanni Sio;2,00 Mio. €;VfL Wolfsburg;Germany;German;Germanic;FC Basel;Switzerland;German;Germanic
219;13/14;Behrang Safari;1,00 Mio. €;RSC Anderlecht;Belgium;French;Romance;FC Basel;Switzerland;German;Germanic
220;13/14;Davide Callà;650 Tsd. €;FC Aarau;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
221;13/14;Mohamed Elneny;640 Tsd. €;El Mokawloon;Egypt;Arabic;Semitic;FC Basel;Switzerland;German;Germanic
222;13/14;Marek Suchy;-;Spartak Moskau;Russia;Russian;Slavic;FC Basel;Switzerland;German;Germanic
223;13/14;Veljko Simic;225 Tsd. €;Roter Stern;Serbia;Serbian;Slavic;FC Basel;Switzerland;German;Germanic
224;13/14;Matías Delgado;ablösefrei;Al-Jazira;United Arab Emirates;Arabic;Semitic;FC Basel;Switzerland;German;Germanic
225;13/14;Fabian Ritter;-;FC Basel U21;Switzerland;German;Germanic;FC Basel;Switzerland;German;Germanic
