Column1;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily
2148;16/17;Thibault Corbaz;ablösefrei;FC Biel-Bienne;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2150;16/17;Gaëtan Karlen;ablösefrei;FC Biel-Bienne;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2151;16/17;Astor Kilezi;ablösefrei;FC Biel-Bienne;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2152;16/17;Azad Odabasi;ablösefrei;Etoile Carouge;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2153;16/17;Frédéric Nimani;ablösefrei;FC Fribourg;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2154;16/17;Léo Farine;ablösefrei;SR Delémont;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2155;16/17;Safet Alic;?;BEJUNE U18;Switzerland;Italian;Romance;Xamax;Switzerland;French;Romance
2157;16/17;Loïc Jacot;?;BEJUNE U18;Switzerland;Italian;Romance;Xamax;Switzerland;French;Romance
2158;16/17;Dilan Qela;?;BEJUNE U18;Switzerland;Italian;Romance;Xamax;Switzerland;French;Romance
2159;16/17;Michael Gonçalves;?;FC Wil 1900;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2160;16/17;Liridon Mulaj;?;BEJUNE U18;Switzerland;Italian;Romance;Xamax;Switzerland;French;Romance
2161;16/17;Bastien Oberli;Leih-Ende;SR Delémont;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2162;16/17;Igor Djuric;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Xamax;Switzerland;French;Romance
2163;16/17;Matheus Leoni;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Xamax;Switzerland;French;Romance
2164;16/17;Pedro Teixeira;-;BEJUNE U18;Switzerland;Italian;Romance;Xamax;Switzerland;French;Romance
2165;16/17;Cédric Zesiger;200 Tsd. €;Xamax;Switzerland;French;Romance;Grasshoppers;Switzerland;German;Germanic
2166;16/17;Jonathan Lara;ablösefrei;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2167;16/17;Adriano De Pierro;ablösefrei;Xamax;Switzerland;French;Romance;Yverdon-Sport;Switzerland;French;Romance
2168;16/17;Valérian Boillat;ablösefrei;Xamax;Switzerland;French;Romance;Stade Nyonnais;Switzerland;French;Romance
2169;16/17;Julien Bize;ablösefrei;Xamax;Switzerland;French;Romance;FC Fribourg;Switzerland;French;Romance
2170;16/17;Yassine El Allaoui;ablösefrei;Xamax;Switzerland;French;Romance;FC Echallens;Switzerland;French;Romance
2171;16/17;Mael Erard;ablösefrei;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2172;16/17;Angelo Meneses-Araujo;ablösefrei;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2173;16/17;Thibaut de Coulon;ablösefrei;Xamax;Switzerland;French;Romance;Yverdon-Sports FC II (U21);Switzerland;French;Romance
2174;16/17;Loic Chatton;ablösefrei;Xamax;Switzerland;French;Romance;FC Solothurn;Switzerland;German;Germanic
2175;16/17;Mehdi Challandes;ablösefrei;Xamax;Switzerland;French;Romance;Yverdon-Sport;Switzerland;French;Romance
2176;16/17;Andelko Savic;ablösefrei;Xamax;Switzerland;French;Romance;Le Mont LS;France;French;Romance
2178;16/17;Marco Delley;ablösefrei;Xamax;Switzerland;French;Romance;Servette FC;Switzerland;French;Romance
2179;16/17;Adrien Zbinden;Leihe;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2180;16/17;Bastien Oberli;Leihe;Xamax;Switzerland;French;Romance;SR Delémont;Switzerland;French;Romance
2181;16/17;Astor Kilezi;Leihe;Xamax;Switzerland;French;Romance;Le Mont LS;France;French;Romance
2183;16/17;Bastien Oberli;Leihe;Xamax;Switzerland;French;Romance;FC Bavois;Switzerland;French;Romance
2184;16/17;Yanique Edoh;-;Xamax;Switzerland;French;Romance;Vereinslos;Vereinslos;Vereinslos;Vereinslos
2185;15/16;Adrien Zbinden;ablösefrei;SR Delémont;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2186;15/16;Andelko Savic;ablösefrei;Sampdoria;Italy;Italian;Romance;Xamax;Switzerland;French;Romance
2187;15/16;Florian Berisha;ablösefrei;FC Aarau;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2188;15/16;Dante Senger;ablösefrei;FC Aarau;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2189;15/16;Mustafa Sejmenovic;ablösefrei;FC Biel-Bienne;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2191;15/16;Angelo Meneses-Araujo;?;Xamax Jugend;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2192;15/16;Emmanuel Mast;?;Xamax Jugend;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2194;15/16;Mickaël Facchinetti;?;FC St. Gallen;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2195;15/16;Yanique Edoh;?;Xamax Jugend;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2196;15/16;Cédric Zesiger;?;Xamax Jugend;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2197;15/16;Max Veloso;?;FC Sion U21;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2198;15/16;Adriano De Pierro;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Xamax;Switzerland;French;Romance
2199;15/16;David Sauget;ablösefrei;Xamax;Switzerland;French;Romance;SR Delémont;Switzerland;French;Romance
2200;15/16;Florian Berisha;ablösefrei;Xamax;Switzerland;French;Romance;Servette FC;Switzerland;French;Romance
2201;15/16;Hervé Epitaux;ablösefrei;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2202;15/16;Luther-King Adjei;ablösefrei;Xamax;Switzerland;French;Romance;SC Düdingen;Switzerland;German;Germanic
2203;15/16;Jonathan Lara;Leihe;Xamax;Switzerland;French;Romance;FC Colombier;Switzerland;French;Romance
