Country_to;Capital_to;Latitude_to;Longitude_to;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily;Country_from;Capital_from;Latitude_from;Longitude_from
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Renato Sergi;?;AC Bellinzona;Switzerland;Italian;Romance;US Arbedo;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 18/19;Isacco Tuz;-;AC Bellinzona;Switzerland;Italian;Romance;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 18/19;Danilo Sperduti;-;AC Bellinzona;Switzerland;Italian;Romance;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 18/19;Mario Zubčić;-;AC Bellinzona;Switzerland;Italian;Romance;Karriereende;Karriereende;Karriereende;Karriereende;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;David Stojanov;ablösefrei;FC Köniz;Switzerland;German;Germanic;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Aleandro Prati;ablösefrei;FC Locarno;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Mario Zubčić;ablösefrei;FC Locarno;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Ulisse Pelloni;ablösefrei;FC Aarau;Switzerland;German;Germanic;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Antonio Felitti;ablösefrei;FC Chiasso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Giovanni Italo;ablösefrei;FC Lugano U21;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Stipe Simunac;ablösefrei;Stade Nyonnais;Switzerland;French;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Patryk Parol;ablösefrei;Novara U19;Italy;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Italy;Rome;41.902784;12.496366
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Daniele Russo;?;FC Winterthur;Switzerland;German;Germanic;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
