Country_to;Capital_to;Latitude_to;Longitude_to;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily;Country_from;Capital_from;Latitude_from;Longitude_from
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Moreno Elia;ablösefrei;AC Taverne;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Mladen Skoric;ablösefrei;FC Lugano;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Borce Manev;ablösefrei;FC Ascona;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Aleksandar Milosevic;ablösefrei;FC Locarno;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Antonello Flena;ablösefrei;FC Locarno;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Christian Casanova;?;Unbekannt;Unbekannt;Unbekannt;Unbekannt;AC Bellinzona;Switzerland;Italian;Romance;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;André dos Santos Barros;?;FC Lugano U21;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Alessio Bottani;?;Unbekannt;Unbekannt;Unbekannt;Unbekannt;AC Bellinzona;Switzerland;Italian;Romance;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Aleksandar Djuric;?;US Giubiasco;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Kubilay Türkyilmaz;-;pausiert;pausiert;pausiert;pausiert;AC Bellinzona;Switzerland;Italian;Romance;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Angelo Raso;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;AC Bellinzona;Switzerland;Italian;Romance;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Igor Mijatović;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;AC Bellinzona;Switzerland;Italian;Romance;;;;
